iter	Passed	Remaining
0	137	137446
1	143	71821
2	150	50124
3	157	39149
4	163	32583
5	169	28158
6	176	25000
7	182	22595
8	188	20709
9	193	19188
10	199	17954
11	205	16916
12	211	16029
13	216	15280
14	222	14636
15	228	14063
16	234	13550
17	240	13104
18	245	12697
19	252	12350
20	258	12031
21	264	11752
22	270	11473
23	275	11219
24	281	10991
25	287	10786
26	294	10596
27	300	10417
28	306	10252
29	312	10100
30	318	9947
31	324	9809
32	330	9671
33	336	9553
34	342	9434
35	348	9319
36	353	9211
37	359	9109
38	366	9021
39	372	8929
40	377	8840
41	384	8762
42	389	8676
43	395	8592
44	403	8564
45	410	8515
46	418	8480
47	424	8411
48	430	8347
49	435	8279
50	441	8212
51	447	8153
52	453	8110
53	460	8062
54	466	8008
55	472	7961
56	478	7911
57	483	7859
58	489	7809
59	495	7762
60	501	7717
61	507	7672
62	513	7630
63	519	7591
64	525	7552
65	531	7517
66	538	7495
67	546	7490
68	553	7462
69	559	7431
70	565	7404
71	572	7379
72	580	7368
73	591	7398
74	599	7392
75	605	7367
76	613	7358
77	620	7331
78	626	7309
79	633	7285
80	640	7263
81	646	7241
82	653	7218
83	659	7195
84	665	7165
85	671	7136
86	677	7114
87	683	7087
88	689	7060
89	697	7048
90	703	7024
91	709	7004
92	715	6982
93	722	6962
94	728	6938
95	734	6913
96	740	6892
97	746	6870
98	752	6849
99	759	6833
100	765	6811
101	771	6792
102	777	6770
103	783	6752
104	789	6730
105	795	6710
106	803	6705
107	811	6700
108	817	6680
109	823	6659
110	828	6638
111	834	6617
112	840	6596
113	846	6579
114	852	6558
115	857	6537
116	863	6518
117	869	6500
118	875	6483
119	881	6466
120	887	6450
121	893	6430
122	899	6412
123	905	6399
124	911	6383
125	918	6367
126	923	6350
127	930	6341
128	937	6329
129	943	6313
130	951	6311
131	957	6293
132	963	6281
133	969	6262
134	974	6244
135	980	6228
136	986	6211
137	991	6196
138	997	6180
139	1003	6164
140	1009	6150
141	1015	6134
142	1020	6118
143	1026	6104
144	1033	6091
145	1039	6079
146	1045	6064
147	1050	6049
148	1056	6033
149	1062	6019
150	1068	6009
151	1075	6001
152	1081	5988
153	1087	5975
154	1094	5964
155	1100	5952
156	1106	5941
157	1112	5930
158	1119	5919
159	1125	5911
160	1132	5899
161	1138	5887
162	1144	5875
163	1149	5862
164	1156	5850
165	1162	5838
166	1168	5826
167	1174	5816
168	1180	5804
169	1186	5793
170	1194	5789
171	1202	5786
172	1208	5776
173	1214	5764
174	1220	5752
175	1226	5743
176	1232	5732
177	1240	5729
178	1247	5720
179	1253	5712
180	1259	5700
181	1266	5691
182	1272	5682
183	1278	5670
184	1284	5660
185	1290	5648
186	1296	5637
187	1303	5628
188	1309	5617
189	1314	5605
190	1321	5595
191	1327	5587
192	1333	5576
193	1339	5567
194	1346	5557
195	1352	5546
196	1357	5534
197	1363	5523
198	1370	5514
199	1375	5503
200	1382	5493
201	1388	5483
202	1394	5473
203	1400	5463
204	1406	5452
205	1412	5443
206	1418	5433
207	1423	5421
208	1430	5412
209	1435	5401
210	1441	5390
211	1447	5382
212	1453	5371
213	1459	5360
214	1465	5349
215	1470	5338
216	1476	5328
